Year,Adjusted_Total,Runtime(Mins),Censor,Total_Gross,main_genre,side_genre,dir_numeric,Rating,discrete
2007,106.08538452294492,124,1,219.96,6,3.4,102.13899999999998,6.5,0
2000,106.05110336817656,130,4,182.62,6,5.2,83.96444444444444,6.4,0
2005,105.9184979731171,140,4,206.85,6,10.4,187.57454545454547,8.2,1
2008,105.87429314569034,92,4,227.95,6,5.8,71.42299999999999,6.4,0
2002,105.86240444753301,88,4,190.42,6,2.2,130.02125,6.1,0
2005,105.71879667164494,115,1,206.46,3,2.1,105.07529411764706,6.7,1
1979,105.62866000688942,95,1,76.66,3,2.1,76.66,7.6,1
1989,105.44770099489111,93,1,130.72,3,2.1,99.68375,6.4,0
1986,105.01026381814033,113,1,115.1,6,0.52,80.614,6.1,0
1981,104.98762716524608,97,1,95.46,2,5.5,95.46,6.9,1
2007,104.81695134738871,92,1,217.33,3,2.7,162.71,5.2,0
2006,104.47356454879912,117,16,210.61,6,5.0,146.73777777777778,7.6,1
2008,103.9514171920902,98,1,223.81,0,3.1,148.445,8.4,1
2014,103.67659637979551,165,4,245.44,6,3.8,178.96230769230772,5.6,0
2001,103.58810240963857,116,4,183.42,10,8.5,59.36888888888888,7.7,1
1990,103.52956183430067,93,1,135.27,6,2.2,78.27000000000001,6.7,1
1992,103.14526665874804,118,4,144.73,6,10.8,73.61999999999999,6.7,1
2013,102.4566399032726,130,4,238.68,6,10.8,166.35666666666668,7.0,1
2009,102.36462708064344,88,1,219.61,0,2.2,86.11833333333334,4.5,0
2001,102.31739457831326,92,4,181.17,6,3.8,99.68375,5.9,0
1972,102.27979274611398,124,16,42.77,5,0.5,40.295,7.8,1
2001,101.66227409638554,119,4,180.01,6,3.8,105.07529411764706,5.7,0
1979,101.53634171546675,94,0,73.69,2,2.9,41.894999999999996,7.1,1
1960,101.43702451394758,197,16,30.0,3,1.2,27.401428571428575,7.9,1
1992,100.72930276754957,138,1,141.34,5,8.5,61.743333333333325,7.7,1
1986,100.09275450467572,119,1,109.71,6,2.2,117.98666666666668,7.3,1
1992,99.49637724195271,100,1,139.61,2,0.5,70.61333333333334,6.5,0
2006,99.2501343474846,154,1,200.08,6,3.8,135.857,6.1,0
1998,99.06855477736312,90,1,161.49,2,2.5,82.15,6.1,0
2004,98.86526074296302,124,1,186.74,6,3.8,112.40500000000002,6.4,0
2014,98.81041975701501,132,4,233.92,6,3.8,135.857,7.9,1
1994,98.6878057007927,141,16,146.28,6,2.56,278.42571428571426,7.3,1
2013,98.2069301033631,132,4,228.78,6,3.8,366.5666666666666,7.7,1
1996,98.15109977685688,139,1,153.95,2,5.7,56.22375,7.3,1
1999,98.14197808794836,93,1,163.48,2,5.0,84.20769230769231,6.4,0
1994,97.70956316410862,97,1,144.83,2,5.1,96.655,6.5,0
2009,97.43307681192522,128,14,209.03,6,3.4,91.25399999999999,7.6,1
1988,97.21936438587838,104,1,114.97,2,5.8,76.1925,7.3,1
2004,97.08109062031235,100,1,183.37,0,2.2,129.74625,6.6,1
1970,97.05086928525436,78,1,37.68,0,2.2,89.76,7.1,1
2016,96.92889075917354,115,4,232.64,6,3.7,93.14999999999999,7.5,1
2006,96.89388615600842,91,1,195.33,0,2.2,138.725,6.8,1
1979,96.87909059593524,126,16,70.31,6,3.8,53.39666666666667,6.2,0
1961,96.6824644549763,158,1,28.9,6,5.2,15.85,7.5,1
2000,96.53890824622535,108,4,166.24,2,5.5,121.71333333333334,7.0,1
2001,96.42695783132532,135,4,170.74,1,5.0,95.35095238095236,8.2,1
2015,96.37705312277177,144,4,228.43,3,5.4,77.35947368421053,8.0,1
1991,95.99706296273635,118,16,130.74,10,8.52,71.705,8.6,1
1989,95.5902124226943,108,1,118.5,3,2.8,129.74625,7.8,1
2005,95.4162577341583,120,14,186.34,6,10.3,58.569,6.5,0
2012,95.30740325219126,106,16,218.82,2,2.9,114.48,6.9,1
1983,95.28112449799197,95,4,94.9,5,0.52,63.60142857142858,6.2,0
2002,94.89367616400278,113,16,170.69,2,10.1,132.20000000000002,7.2,1
1988,94.65717708406737,107,1,111.94,2,10.0,81.21249999999999,6.1,0
2003,94.26047565118913,97,1,173.4,3,2.1,234.0025,7.0,1
1981,93.81358262304097,106,16,85.3,2,1.5,81.21249999999999,6.8,1
2017,93.43194733182953,120,4,229.02,6,3.7,146.73777777777778,6.1,0
1990,93.38095541807515,135,1,122.01,6,8.54,72.94714285714285,7.5,1
2004,93.30627371393275,108,16,176.24,6,9.7,123.30999999999999,7.7,1
2011,93.287444383111,130,4,209.84,6,10.8,166.35666666666668,7.3,1
2001,93.23606927710846,131,18,165.09,10,8.52,77.35947368421053,6.8,1
1999,93.20126069338134,124,16,155.25,6,3.7,128.184,7.1,1
2011,93.09183594082845,132,4,209.4,6,8.5,239.20400000000004,7.4,1
1975,92.90802105915144,125,1,50.0,1,10.4,23.686666666666667,8.0,1
1997,92.50129789222304,139,16,148.48,2,5.7,76.08,7.7,1
1988,92.43323233035024,108,1,109.31,6,2.2,109.31,5.7,0
2017,92.31412558836078,137,16,226.28,6,5.4,89.905,8.1,1
2017,92.20397527057371,136,4,226.01,6,10.8,88.98444444444445,6.6,1
2005,91.91380413910815,118,1,179.5,2,5.5,82.61,6.6,1
2004,91.59622341833582,131,1,173.01,6,3.4,102.13899999999998,6.9,1
1985,91.54322900526807,154,1,98.47,5,5.0,138.73962962962963,7.7,1
2002,91.51911049339819,141,16,164.62,1,10.4,138.73962962962963,8.1,1
1999,91.4062734503977,116,8,152.26,2,5.5,74.53916666666667,5.6,0
1990,91.37572549269723,113,16,119.39,6,3.8,63.32285714285714,7.5,1
2000,91.34727061556333,104,4,157.3,6,3.8,135.857,7.3,1
2000,91.18466898954706,88,11,157.02,2,2.9,89.4525,6.2,0
1991,91.07018295294623,113,0,124.03,2,4.0,48.93749999999999,6.8,1
1983,90.76305220883533,116,1,90.4,2,2.9,48.604000000000006,7.5,1
1989,90.74213498252219,108,1,112.49,6,2.5,81.21249999999999,6.6,1
2000,90.27874564459934,130,16,155.46,5,8.5,129.74625,6.6,1
1990,89.95981886599911,124,16,117.54,6,8.5,43.313,7.1,1
