Year,Rating,Runtime(Mins),Censor,Total_Gross,main_genre,side_genre,dir_numeric,Adjusted_Total,discrete
2002,8.1,141,16,164.62,1,10.4,138.73962962962963,91.51911049339819,0
1999,5.6,116,8,152.26,2,5.5,74.53916666666667,91.4062734503977,0
1990,7.5,113,16,119.39,6,3.8,63.32285714285714,91.37572549269723,0
2000,7.3,104,4,157.3,6,3.8,135.857,91.34727061556333,0
2000,6.2,88,11,157.02,2,2.9,89.4525,91.18466898954706,0
1991,6.8,113,0,124.03,2,4.0,48.93749999999999,91.07018295294623,0
1983,7.5,116,1,90.4,2,2.9,48.604000000000006,90.76305220883533,0
1989,6.6,108,1,112.49,6,2.5,81.21249999999999,90.74213498252219,0
2000,6.6,130,16,155.46,5,8.5,129.74625,90.27874564459934,0
1990,7.1,124,16,117.54,6,8.5,43.313,89.95981886599911,0
2002,6.1,133,16,160.94,6,8.54,44.49142857142857,89.47324530924253,0
2008,5.3,122,4,191.47,5,7.3,61.185,88.9306905400541,0
2013,6.8,112,4,206.36,6,3.7,148.06,88.58283982922464,0
1998,5.4,85,9,144.16,2,7.1,86.11833333333334,88.43719646234854,0
2007,7.3,87,1,183.14,0,2.2,183.14,88.32732006515789,0
2014,7.6,130,4,208.55,6,5.2,111.9025,88.09384849660347,0
1994,4.9,91,1,130.51,2,7.1,72.71666666666667,88.04857480182153,0
1991,6.8,142,1,119.65,3,2.1,138.73962962962963,87.85412714923821,0
1972,7.3,123,16,36.73,6,10.8,24.395,87.83579115185331,0
2018,7.7,147,4,220.16,6,8.54,125.3325,87.67582987586292,0
1993,6.8,105,1,126.53,2,5.7,98.81,87.58927026247477,0
1984,7.3,126,1,90.82,6,5.1,80.614,87.42499598909032,0
1966,7.7,120,1,28.35,1,2.53,22.205,87.34274711168166,0
1996,6.7,121,4,136.49,6,10.8,95.35095238095236,87.01944532993309,0
1992,6.3,129,4,121.95,6,0.53,66.71,86.91055944886564,0
2013,7.0,116,4,202.36,6,8.4,68.11,86.86578536461475,0
1996,5.7,103,0,136.19,3,10.3,48.19222222222222,86.82817978960792,0
1992,7.0,94,1,121.7,2,0.5,68.61333333333333,86.73239102031118,0
